Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Tobramycin_AB,0.8833333333333333,0.9341580010842245,0.9044901796696115,0.8672112462006079,0.8810556404317185,0.8731501057082452,7.333333333333333,4.333333333333334,103.0,0.0,197.0,103.0,0.0,197.0
Cefuroxime_AB,0.9432624113475178,0.8761748120300752,0.7779009067636589,0.7385496183206106,0.793703007518797,0.7626262626262627,3.546099290780142,2.127659574468085,16.0,0.0,266.0,16.0,0.0,266.0
Cefotaxime_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cefpodoxime_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cefepime_AB,0.6666666666666666,0.6093181818181819,0.5924792591450031,0.6666666666666666,0.5572727272727273,0.5215556225504974,2.898550724637681,30.434782608695656,100.0,0.0,176.0,100.0,0.0,176.0
Gentamicin_AB,0.8533333333333334,0.9434514500201081,0.9330970246002046,0.8528055169943128,0.8520487957460119,0.8523886205045625,7.000000000000001,7.666666666666666,139.0,0.0,161.0,139.0,0.0,161.0
Piperacillin-tazobactam_AB,0.8133333333333334,0.7308597796402674,0.640630709867561,0.625660622814863,0.6455410113946699,0.6339869281045751,10.666666666666668,8.0,41.0,0.0,259.0,41.0,0.0,259.0
Doripenem_AB,0.0,,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tigecycline_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trimethoprim_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piperacillin_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aztreonam_AB,0.8900343642611683,0.7056919642857143,0.7085435651939072,0.7401785714285714,0.7401785714285714,0.7401785714285714,5.498281786941581,5.498281786941581,35.0,0.0,256.0,35.0,0.0,256.0
Ceftazidime_AB,0.9333333333333333,0.9194642857142857,0.8149116919578598,0.7425373134328358,0.8714285714285714,0.789444132509826,5.333333333333334,1.3333333333333335,20.0,0.0,280.0,20.0,0.0,280.0
Ciprofloxacin_AB,0.9,0.412037037037037,0.48156960319755193,0.45,0.5,0.47368421052631576,0.0,10.0,30.0,0.0,270.0,30.0,0.0,270.0
Ceftazidime-avibactam_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imipenem_AB,0.36,0.33263207106124354,0.4421599981600355,0.6631578947368422,0.5362318840579711,0.3135993135993136,0.0,64.0,207.0,0.0,93.0,207.0,0.0,93.0
Meropenem_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceftolozane-tazobactam_AB,0.0,,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trimethoprim-sulfamethoxazole_AB,0.8066666666666666,0.6416001709888857,0.6036635290826695,0.4033333333333333,0.5,0.44649446494464945,0.0,19.333333333333332,58.0,0.0,242.0,58.0,0.0,242.0
Amoxicillin-clavulanic acid_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colistin_AB,0.0,,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ertapenem_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceftriaxone_AB,0.9233333333333333,0.6626062786134729,0.5613425580833897,0.46321070234113715,0.4982014388489209,0.4800693240901213,0.33333333333333337,7.333333333333333,22.0,0.0,278.0,22.0,0.0,278.0
Levofloxacin_AB,0.8466666666666667,0.8828571428571429,0.7965424906956299,0.7441255386616799,0.7228200371057514,0.7324751861042184,6.666666666666667,8.666666666666668,55.0,0.0,245.0,55.0,0.0,245.0
Ampicillin_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amikacin_AB,0.9166666666666666,0.938888888888889,0.9257824600621238,0.9222222222222223,0.876984126984127,0.8955067920585162,6.666666666666667,1.6666666666666667,210.0,0.0,90.0,210.0,0.0,90.0
Ampicillin-sulbactam_AB,0.9533333333333334,0.9010526315789473,0.7812986696680629,0.7547363031233999,0.8491228070175438,0.793144208037825,3.3333333333333335,1.3333333333333335,15.0,0.0,285.0,15.0,0.0,285.0
Cefazolin_AB,0.9433333333333334,0.976551724137931,0.8661063636177027,0.6781818181818182,0.9224137931034483,0.7420986093552465,5.333333333333334,0.33333333333333337,10.0,0.0,290.0,10.0,0.0,290.0
Median,0.5133333333333333,0.8761748120300752,0.9294397423311642,0.42666666666666664,0.49910071942446044,0.3800468892719815,0.0,0.8333333333333335,,,,,,
