Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Tobramycin_AB,0.9585062240663901,0.9682047584715212,0.9649336002449675,0.9624482554701359,0.9510454217736121,0.9560475634665888,0.8298755186721992,3.319502074688797,95.0,0.0,146.0,95.0,0.0,146.0
Cefuroxime_AB,0.9555555555555556,0.9412022817025011,0.9472269579028825,0.938295304958315,0.938295304958315,0.938295304958315,2.2222222222222223,2.2222222222222223,53.0,0.0,172.0,53.0,0.0,172.0
Cefotaxime_AB,0.9402390438247012,0.8598870056497174,0.6461538181705156,0.4701195219123506,0.5,0.48459958932238195,0.0,5.9760956175298805,15.0,0.0,236.0,15.0,0.0,236.0
Cefpodoxime_AB,0.0,,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cefepime_AB,0.921161825726141,0.8106758832565284,0.8146580224301588,0.9585152838427948,0.6935483870967742,0.7574296763256874,0.0,7.883817427385892,31.0,0.0,210.0,31.0,0.0,210.0
Gentamicin_AB,0.9,0.9546929883064337,0.9463097906382472,0.9021539563835028,0.8992930505535548,0.8997147441611696,6.666666666666667,3.3333333333333335,153.0,0.0,147.0,153.0,0.0,147.0
Piperacillin-tazobactam_AB,0.8921161825726142,0.963314580403188,0.9567584170595608,0.8814859437751004,0.8711126738552899,0.8759502692429522,4.564315352697095,6.224066390041494,79.0,0.0,162.0,79.0,0.0,162.0
Doripenem_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tigecycline_AB,0.9669421487603306,0.6466346153846154,0.5209138403621686,0.4834710743801653,0.5,0.49159663865546216,0.0,3.3057851239669422,8.0,0.0,234.0,8.0,0.0,234.0
Trimethoprim_AB,0.8260869565217391,0.9285714285714286,0.9189210900706436,0.7976190476190477,0.8348214285714286,0.8083333333333333,13.043478260869565,4.3478260869565215,7.0,0.0,16.0,7.0,0.0,16.0
Piperacillin_AB,0.0,,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aztreonam_AB,0.9295154185022027,0.957719298245614,0.9494111311895351,0.9228340152997687,0.9169736842105263,0.9198021550962727,3.0837004405286343,3.9647577092511015,75.0,0.0,152.0,75.0,0.0,152.0
Ceftazidime_AB,0.9224806201550387,0.9387607573149741,0.9372607155093204,0.9158475355349692,0.9048537005163511,0.9100230173676501,3.10077519379845,4.651162790697675,83.0,0.0,175.0,83.0,0.0,175.0
Ciprofloxacin_AB,0.9,0.4598765432098766,0.501719373752043,0.45,0.5,0.47368421052631576,0.0,10.0,30.0,0.0,270.0,30.0,0.0,270.0
Ceftazidime-avibactam_AB,0.9578313253012049,0.9846311475409836,0.9787251335092719,0.9488561164681415,0.9422503725782414,0.9454844006568144,1.8072289156626504,2.4096385542168677,44.0,0.0,122.0,44.0,0.0,122.0
Imipenem_AB,0.8709677419354839,0.7317582770813243,0.7163949855400402,0.8729066985645932,0.6002089360334297,0.6309523809523809,0.4608294930875576,12.442396313364055,34.0,0.0,183.0,34.0,0.0,183.0
Meropenem_AB,0.7166666666666667,0.692374839537869,0.7019085071013104,0.8125,0.5554557124518613,0.5165968417660328,0.33333333333333337,28.000000000000004,95.0,0.0,205.0,95.0,0.0,205.0
Ceftolozane-tazobactam_AB,0.9879518072289156,0.9915074309978769,0.9630234453825307,0.9937106918238994,0.8888888888888888,0.9343354430379747,0.0,1.2048192771084338,9.0,0.0,157.0,9.0,0.0,157.0
Trimethoprim-sulfamethoxazole_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amoxicillin-clavulanic acid_AB,0.8571428571428571,0.9134328358208956,0.7504682320658662,0.6642857142857143,0.6201492537313433,0.6363246028338343,5.194805194805195,9.090909090909092,10.0,0.0,67.0,10.0,0.0,67.0
Colistin_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ertapenem_AB,0.7361111111111112,0.6212140019860973,0.6105968616072014,0.3680555555555556,0.5,0.424,0.0,26.38888888888889,76.0,0.0,212.0,76.0,0.0,212.0
Ceftriaxone_AB,0.9842931937172775,0.21808510638297873,0.4951024561704948,0.49214659685863876,0.5,0.49604221635883905,0.0,1.5706806282722512,3.0,0.0,188.0,3.0,0.0,188.0
Levofloxacin_AB,0.8798076923076923,0.9245646960692316,0.9280591951459811,0.9003797468354431,0.8297883432384527,0.8528704411057353,1.4423076923076923,10.576923076923077,69.0,0.0,139.0,69.0,0.0,139.0
Ampicillin_AB,0.9746376811594203,0.9630908125331917,0.8193306546238248,0.48731884057971014,0.5,0.4935779816513762,0.0,2.536231884057971,7.0,0.0,269.0,7.0,0.0,269.0
Amikacin_AB,0.9,0.9389893394648828,0.9202400978183034,0.902608082706767,0.8581730769230769,0.8759920634920635,7.666666666666666,2.3333333333333335,208.0,0.0,92.0,208.0,0.0,92.0
Ampicillin-sulbactam_AB,0.9619565217391305,0.9850340136054421,0.9821726840659852,0.9540441176470589,0.9480725623582766,0.9510023966219043,1.6304347826086956,2.1739130434782608,49.0,0.0,135.0,49.0,0.0,135.0
Cefazolin_AB,0.9516908212560387,0.9685205784204671,0.96950417969047,0.9556527909176915,0.928587319243604,0.9407352267521759,0.966183574879227,3.864734299516908,62.0,0.0,145.0,62.0,0.0,145.0
Median,0.9,0.9387607573149741,0.9417852530737838,0.8427033492822966,0.6568488204140588,0.6968771395797608,0.3970814132104455,3.326417704011065,,,,,,
