Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Tobramycin_AB,0.85,0.9189995659722222,0.9155319973428643,0.8372395833333333,0.8372395833333333,0.8372395833333333,7.5,7.5,72.0,0.0,128.0,72.0,0.0,128.0
Cefuroxime_AB,0.9368421052631579,0.9742173112338858,0.8126548721030119,0.7142857142857143,0.9668508287292817,0.7828571428571429,6.315789473684211,0.0,9.0,0.0,181.0,9.0,0.0,181.0
Cefotaxime_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cefepime_AB,0.6031746031746031,0.5014492753623188,0.5139480897225334,0.45714285714285713,0.48731884057971014,0.42107412701654073,5.291005291005291,34.39153439153439,69.0,0.0,120.0,69.0,0.0,120.0
Gentamicin_AB,0.865,0.9083838383838384,0.9030125647880922,0.8638274447002302,0.8671717171717171,0.8644272049408752,8.5,5.0,90.0,0.0,110.0,90.0,0.0,110.0
Piperacillin-tazobactam_AB,0.72,0.7127241464013756,0.69062220948498,0.5823799976412313,0.6715794645050357,0.5780590717299579,23.5,4.5,23.0,0.0,177.0,23.0,0.0,177.0
Tigecycline_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trimethoprim_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aztreonam_AB,0.8556701030927835,0.8057142857142858,0.7302466425682197,0.6600790513833992,0.7557894736842106,0.6891025641025641,10.824742268041238,3.608247422680412,19.0,0.0,175.0,19.0,0.0,175.0
Ceftazidime_AB,0.895,0.859831029185868,0.6394108732113702,0.6808832425892317,0.8444700460829493,0.7264021887824897,9.0,1.5,14.0,0.0,186.0,14.0,0.0,186.0
Ciprofloxacin_AB,0.945,0.16835016835016836,0.4547353181442109,0.4725,0.5,0.48586118251928023,0.0,5.5,11.0,0.0,189.0,11.0,0.0,189.0
Ceftazidime-avibactam_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imipenem_AB,0.275,0.4818181818181818,0.5125359775839382,0.1375,0.5,0.21568627450980393,0.0,72.5,145.0,0.0,55.0,145.0,0.0,55.0
Meropenem_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceftolozane-tazobactam_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amoxicillin-clavulanic acid_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ertapenem_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceftriaxone_AB,0.945,0.8802308802308803,0.7618027787742236,0.4725,0.5,0.48586118251928023,0.0,5.5,11.0,0.0,189.0,11.0,0.0,189.0
Levofloxacin_AB,0.865,0.7185281385281386,0.7674233608990749,0.7666548547129695,0.7606060606060606,0.7635623275975305,6.5,7.000000000000001,35.0,0.0,165.0,35.0,0.0,165.0
Ampicillin_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amikacin_AB,0.87,0.9201617324561404,0.9158464583598398,0.8795681063122924,0.7505482456140351,0.7888239116309292,11.5,1.5,152.0,0.0,48.0,152.0,0.0,48.0
Ampicillin-sulbactam_AB,0.875,0.9889322916666667,0.9052995406131454,0.6212121212121212,0.9348958333333333,0.660303009715334,12.5,0.0,8.0,0.0,192.0,8.0,0.0,192.0
Cefazolin_AB,0.95,0.991857883049593,0.9234779865224184,0.7058823529411764,0.9740932642487047,0.7783687943262412,5.0,0.0,7.0,0.0,193.0,7.0,0.0,193.0
Median,0.72,0.8700309547083741,0.9155319973428643,0.4725,0.5,0.48586118251928023,0.0,0.0,,,,,,
