Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Tobramycin_AB,0.765,0.8383020488283646,0.7863519710466046,0.7185828877005347,0.7407066617592933,0.7265454545454546,14.499999999999998,9.0,57.0,0.0,143.0,57.0,0.0,143.0
Cefuroxime_AB,0.8817204301075269,0.9085714285714286,0.7620350771882662,0.6150973592958122,0.7241558441558441,0.6439262095370692,9.13978494623656,2.6881720430107525,11.0,0.0,175.0,11.0,0.0,175.0
Cefotaxime_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cefepime_AB,0.7382198952879581,0.5839285714285714,0.5896441045021846,0.7437150837988826,0.5692460317460317,0.5527351067815661,1.5706806282722512,24.60732984293194,56.0,0.0,135.0,56.0,0.0,135.0
Gentamicin_AB,0.86,0.8966751918158568,0.8790122953635036,0.8571428571428572,0.8644501278772379,0.8585858585858586,9.5,4.5,85.0,0.0,115.0,85.0,0.0,115.0
Piperacillin-tazobactam_AB,0.765,0.6170014880952381,0.6366154652196698,0.5761904761904761,0.5818452380952381,0.578683160772713,12.5,11.0,32.0,0.0,168.0,32.0,0.0,168.0
Tigecycline_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trimethoprim_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aztreonam_AB,0.8383838383838383,0.8254925022052337,0.718281099696518,0.6404230317273796,0.7459570714495736,0.6672268907563025,12.626262626262626,3.535353535353535,19.0,0.0,179.0,19.0,0.0,179.0
Ceftazidime_AB,0.91,0.9343971631205674,0.8280846052409085,0.6935215946843853,0.9131205673758864,0.75,8.5,0.5,12.0,0.0,188.0,12.0,0.0,188.0
Ciprofloxacin_AB,0.93,0.4946236559139785,0.5036420236849659,0.465,0.5,0.48186528497409326,0.0,7.000000000000001,14.0,0.0,186.0,14.0,0.0,186.0
Ceftazidime-avibactam_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imipenem_AB,0.295,0.5580910317752423,0.5614283614998236,0.6439393939393939,0.506993006993007,0.23732251521298176,0.0,70.5,143.0,0.0,57.0,143.0,0.0,57.0
Meropenem_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceftolozane-tazobactam_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amoxicillin-clavulanic acid_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ertapenem_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceftriaxone_AB,0.93,0.7071812596006144,0.5715391593330191,0.465,0.5,0.48186528497409326,0.0,7.000000000000001,14.0,0.0,186.0,14.0,0.0,186.0
Levofloxacin_AB,0.815,0.6622450671530427,0.665317638475058,0.675,0.6044602885093683,0.6215027364329191,5.0,13.5,37.0,0.0,163.0,37.0,0.0,163.0
Ampicillin_AB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amikacin_AB,0.875,0.8876839167935058,0.8967282461474246,0.8904761904761904,0.7860223236935566,0.8193576357527368,11.0,1.5,146.0,0.0,54.0,146.0,0.0,54.0
Ampicillin-sulbactam_AB,0.865,0.8661347517730497,0.7519254224446392,0.617197938537889,0.7721631205673758,0.6482313855774868,11.5,2.0,12.0,0.0,188.0,12.0,0.0,188.0
Cefazolin_AB,0.95,0.9772135416666666,0.7995452895020609,0.7089093701996928,0.8541666666666667,0.7594997594997595,4.0,1.0,8.0,0.0,192.0,8.0,0.0,192.0
Median,0.765,0.8318972755167992,0.8280846052409085,0.5761904761904761,0.506993006993007,0.48186528497409326,0.0,1.5,,,,,,
